@id,accessibility,amenity,boundary_type:Ward_boundary,building:levels,building:material,building:roof,contact:address,contact:phone,education:curriculum,education:exam_center,education:extra_drama,education:extra_music,education:extra_scouts,education:extra_sports,education:fees,education:gender_type,education:government_registered,education:management_committee,education:program_counselling,education:program_feeding,education:program_sanitary_towel,education:pta,education:students,education:teachers,education:teachers_female,education:teachers_male,education:teachers_trained,education:tsc_employed,education:type,electricity:operational_status,image:classroom,image:compound,image:other,image:outside,is_in:constituency,is_in:estate,is_in:ward,name,official_name,operational_status:electricity,operator:name,operator:type,place:village,polling_station:accessibility,polling_station:election_year,polling_station:nearest_health_centre,polling_station:nearest_police_station,polling_station:registered_voters,polling_station:source,polling_station:type_description,toilet:present,lon,lat,contact:email,education:fees_level4,education:fees_level5,education:program_orphans,education:student_age_range,education:students_female,education:students_male,opening_hours,education:boarding,education:fees_level1,education:fees_level2,education:fees_level3,education:program_counseling,education:program_other,education:program_special_needs,education:program_sports,education:staff_female,education:staff_male,media:video_device_number,media:video_number,operational_status,education:fees_optional,education:school_head,image,is_in:village,operator:description,polling_station:type,education:description,education:fees_sponsored,source,education:exam_affiliate,education:teachers_untrained,education:fees_level6,media:camera_device_number,media:camera_number,education:program_scouting,education:program_description,education:extra_other,education:student_female,education:student_male,education:program_computers,description,station:type_description,education:teachers_tsc,designation,security:gbv_support,toilet:arranged_name,education:program_specialneeds,boundary_type:Constituency_boundary,polling_station:election_year_2,registered_voters,building,fee,operational_status_2,education:fee,toilets:for:female,toilets:for:male,toilets:for:teacher,toilets:handwashing,education:bom_employed,education:male,toilets,education:committees,health_facility:referals,medical_service:psychosocial_support_counselling,medical_staff:counsellor,medical_staff:description,note,contact:website,addr:postcode,education:fee_level,website,operator,education:accessibility,education:management_commitee,education:program_WASH,education:program_handwashing,education:program_rain,education:student_disable,safe_place:acessible,safe_place:compound,safe_place:protected/secure,safe_place:school,security:description,social_facility,education:nemis_code,image:sign_post,toilet:female,toilet:handwashing,toilet:male,toilet:teachers,water:source,Music,building:classrooms,education:fees_admission,education:fees_exam,education:fees_lunch,education:fees_per_year,education:fees_trip,education:government_grants,education:operate_as,toilets:female,toilets:male,toilets:teachers
node/612007413,foot,school,,1,ironsheets,ironsheets,"P O Box 7083-00200, Nairobi",0710895928,8_4_4,,,,,,2700,mixed,mgcsd,yes,,fees,,,270,7,5,2,3,,primary,often,,,,,,,,Lindi Ushirika Primary,LINDI USHIRIKA WA USAFI NA MAENDELEO-PRI SCH,never,Lindi Ushirika,cbo,Lindi,,,,,,,,yes,36.794168,-1.3138256,,,,yes,3-14yrs,200,70,Mo-Fr 07:00-15:00,,,,,yes,,,yes,2,2,8,11,operational,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/612007446,small_cars,school,,1,ironsheets,ironsheets,P.O Box 21270,0722641917,,yes,yes,yes,yes,yes,,mixed,mgcsd,no,yes,yes,,yes,275,11,6,5,,,primary,always,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/Makina%20Baptist%20School/Classroom.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/Makina%20Baptist%20School/Compound.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/Makina%20Baptist%20School/Compound.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/Makina%20Baptist%20School/Sign.JPG,,,,Makina Baptist Primary School,,,Makina Baptist Self Help Group,cbo,Makina,,,,,,,,yes,36.7900295,-1.3084695,mbps@yahoo.com,2200,2600,,,150,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/612007447,big_vehicles,school,,1,ironsheets,ironsheets,P.O Box 19422-0200/ P.O Box 29816-0200,0701585051,8_4_4,yes,yes,yes,yes,yes,18000,mixed,mgcsd,yes,yes,yes,yes,yes,60,8,,8,,,secondary,always,,,,,,,,Calvary Educational Centre,MASHIMONI CALVARY HIGH SCH,,Calvary Evangelical Church,religious,Makina,,,,,,,,yes,36.7895003,-1.3084031,timothymulei@hotmail.com,,,,,40,20,,,,,,,,,,,,,,,,,,,,,,,,,,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/612007489,foot,school,,0,mud,ironsheets,,,other,,,,,,,mixed,mgcsd,,,,,,,,,,,,vocational,often,,,,,,,,Mzalendo High Technical Center,,,Ombima Munialo,private,Mashimoni,,,,,,,,yes,36.7884157,-1.3111681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/612007505,foot,school,,,cement_block,ironsheets,,0725656553,8_4_4,,,,,,,mixed,mgcsd,,,,,,81,3,3,,3,,pre_primary,never,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/St.%20Monica/Classroom.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/St.%20Monica/Establishment.JPG,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/St.%20Monica/Sign.JPG,,,,St Monica Nursery School,,,,cbo,Raila,,,,,,,,yes,36.7785618,-1.3191359,,,,,,41,40,08:00-16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/612007554,big_vehicles,school,,0,cement_block,ironsheets,"P O Box 29857-00100, Nairobi",0721608794,8_4_4,yes,,yes,yes,yes,,mixed,mgcsd,yes,yes,fees,,yes,,10,3,7,10,0,primary,sometimes,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Palm%20Olive%20Academy/class.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Palm%20Olive%20Academy/building.JPG,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Palm%20Olive%20Academy/gate.JPG,,,,Palm Olive Academy,PALM OLIVE ACADEMY,always,Robinson George,cbo,Olympic,,,,,,,,yes,36.7794245,-1.313813,palmoliveacademy@yahoo.com,,,,21/2-14yrs,190,187,,,,,,yes,,,,2,1,,,operational,,Robinson George,,,information given was not complete,,,,,,1,,01,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/612007576,big_vehicles,school,,,,,,,,,,,,,,mixed,,,,,,,,,,,,,pre_primary,,,,,,,,,Robter Nursery School,,never,,private,Olympic,,,,,,,,,36.7801005,-1.3134749,,,,yes,2-6yrs,48,30,07:00-18:00,,,,,,,,,1,1,,,operational,,,,,No information was given,,,,Map Kibera Trust,,,,01,"39,40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/612007585,foot,school,,,,,,,,,,,,,,mixed,,,,,,,60,5,5,0,5,0,primary,,,,,,,,,AMMSA Junior Academy,,never,,private,Olympic,,,,,,,,,36.7773233,-1.3126169,,,,,21/2-9yrs,32,28,07:30-17:00,,,,,,,,,1,,,,operational,,,,,run by individual,,,no,Map Kibera Trust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/612007672,foot,school,,2,concrete,ironsheets,"P O Box 21188 -00505, Nairobi",720200847,8_4_4,yes,yes,yes,yes,yes,11500,mixed,moe,yes,yes,fees,yes,yes,467,20,11,9,20,,primary,often,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Laini%20Saba%20Primary%20School/building.JPG,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Laini%20Saba%20Primary%20School/compound.JPG,,,,Laini Saba Primary School,LAINI SABA PRI. SCH,always,Catholic Church Laini Saba,religious,Laini Saba,,,,,,,,yes,36.794199,-1.3101007,lasbapri@yahoo.com,,,,6-14yrs,224,243,Mo-Fr 07:30-17:00,,,,,yes,,,yes,4,6,,,operational,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/612007690,small_cars,school,yes,0,concrete,ironsheets,,0727624116,8_4_4,yes,,yes,yes,yes,7200,mixed,mgcsd,yes,yes,fees,yes,yes,280,12,7,5,9,,primary,often,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/YMCA%20Kibera%20Center%20Primary%20School/class.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/YMCA%20Kibera%20Center%20Primary%20School/building.JPG,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Wings%20of%20Life%20Children%20Center/sign%20post.JPG,Kibra,,Laini saba ward,YMCA School,,often,YMCA,ngo,Laini Saba,small_cars,2013,Amref dispensary,Kilimani/kenyatta,10149,map_kibera_trust,private_school,yes,36.7953065,-1.310952,,,,,3-14yrs,60,85,Mo-Fr 08:00-16:00,,,,,yes,,,yes,,2,,,operational,,,,Laini saba,,,,,,,4,,,,yes,v.t.t training centre available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/612007716,foot,school,,0,ironsheets,ironsheets,,,8_4_4,,,,,,4500,mixed,mgcsd,,,no,,,130,8,3,5,0,,primary,often,,,,,,,,Jakes Academy,JAKES CENTER- PRI. SCH,always,Jakes Ministries,private,Laini Saba,,,,,,,,yes,36.7947541,-1.3098221,,,,yes,3-15yrs,320,190,Mo-Fr 08:00-16:00,,,,,yes,,,yes,2,1,,,operational,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/612007816,foot,school,,,mud,ironsheets,P 0 Box 50534-00200i,0723268266/ 0721596086,8_4_4,,,yes,,yes,5400,mixed,mgcsd,yes,,,,yes,72,7,6,1,,,pre_primary,never,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Linda%20Daycare%20School/IMG_0694.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Linda%20Daycare%20School/IMG_0689.JPG,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Linda%20Daycare%20School/IMG_0688.JPG,,,,Linda Baby Care,,,Linda Care,cbo,Kisumu Ndogo,,,,,,,,yes,36.7868672,-1.3141701,carecentrelinda@yahoo.com,1800,,,,38,34,,,1800,1800,1800,,,,,,,,,,,Kevin Onyango,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
